draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
11	35	Goblin_Instigator	0	0	0	0
11	36	Hostile_Minotaur	0	1	0	0
11	37	Dragon_Egg	0	1	0	0
11	38	Goblin_Motivator	0	1	0	0
11	39	Infectious_Horror	0	0	0	0
11	40	Goblin_Instigator	0	0	0	0
11	41	Fire_Elemental	1	1	0	0
11	42	Tormenting_Voice	1	1	0	0
11	43	Plummet	0	0	1	1
11	44	Infectious_Horror	1	1	1	1
11	45	Mountain_4	1	1	1	1
12	1	Murder	0	0	0	0
12	2	Diregraf_Ghoul	0	0	0	0
12	3	Poison-Tip_Archer	0	0	0	0
12	4	Recollect	0	1	0	0
12	5	Gigantosaurus	0	1	0	0
12	6	Two-Headed_Zombie	0	0	0	0
12	7	Talons_of_Wildwood	1	0	0	0
12	8	Reclamation_Sage	0	1	0	0
12	9	Abnormal_Endurance	1	0	0	0
12	10	Wall_of_Vines	0	1	0	0
12	11	Island_4	0	0	0	0
12	12	Bogstomper	0	0	1	0
12	13	Hired_Blade	1	0	1	1
12	14	Hired_Blade	0	1	1	1
12	15	Mountain_1	1	1	1	1
12	16	Strangling_Spores	0	0	0	0
12	17	Vine_Mare	0	1	1	0
12	18	Druid_of_Horns	0	1	0	0
12	19	Doomed_Dissenter	0	0	0	0
12	20	Bristling_Boar	1	0	0	0
12	21	Naturalize	0	0	0	0
12	22	Child_of_Night	0	0	0	0
12	23	Colossal_Majesty	0	1	0	0
12	24	Talons_of_Wildwood	0	1	0	0
12	25	Bogstomper	0	0	0	0
12	26	Talons_of_Wildwood	0	0	1	0
12	27	Onakke_Ogre	1	1	0	0
12	28	Invoke_the_Divine	0	1	1	1
12	29	Alpine_Moon	0	1	0	0
12	30	Knight_of_the_Tusk	1	1	1	1
12	31	Druid_of_Horns	0	0	0	0
12	32	Phylactery_Lich	0	1	0	0
12	33	Rise_from_the_Grave	0	0	0	0
12	34	Colossal_Dreadmaw	0	0	1	0
12	35	Ghirapur_Guide	0	0	1	0
12	36	Reclamation_Sage	0	1	1	0
12	37	Infectious_Horror	0	0	0	0
12	38	Gigantosaurus	1	1	0	0
12	39	Hired_Blade	0	0	1	0
12	40	Infectious_Horror	0	0	0	0
12	41	Diregraf_Ghoul	0	1	0	0
12	42	Infernal_Scarring	0	0	0	1
12	43	Island_4	1	0	0	0
12	44	Bogstomper	1	1	1	0
12	45	Root_Snare	1	1	1	1
13	1	Vampire_Sovereign	1	0	0	0
13	2	Militia_Bugler	0	1	0	0
