human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
Cancel	0.25405405405405407	0.41621621621621624	0.3783783783783784	0.4540540540540541
Catalyst_Elemental	0.3484848484848485	0.5606060606060606	0.4621212121212121	0.3560606060606061
Cavalry_Drillmaster	0.12121212121212122	0.0707070707070707	0.3434343434343434	0.3838383838383838
Centaur_Courser	0.10666666666666667	0.12	0.5066666666666667	0.4
Chaos_Wand	0.08	1.0	0.22	0.44
Child_of_Night	0.06944444444444445	0.14583333333333334	0.1388888888888889	0.4305555555555556
Chromium_the_Mutable	0.0	1.0	0.7333333333333333	0.9333333333333333
Cinder_Barrens	0.3076923076923077	0.28205128205128205	0.48717948717948717	0.32051282051282054
Cleansing_Nova	0.13043478260869565	1.0	0.9565217391304348	0.9130434782608695
Colossal_Dreadmaw	0.1125	0.13125	0.4625	0.45625
Colossal_Majesty	0.10909090909090909	0.6363636363636364	0.32727272727272727	0.36363636363636365
Crash_Through	0.3888888888888889	0.5740740740740741	0.4876543209876543	0.47530864197530864
Crucible_of_Worlds	0.04	1.0	0.08	0.16
Daggerback_Basilisk	0.21052631578947367	0.2578947368421053	0.6	0.4368421052631579
Dark-Dweller_Oracle	0.1	1.0	0.7	0.45
Daybreak_Chaplain	0.12269938650306748	0.1901840490797546	0.294478527607362	0.5521472392638037
Death_Baron	0.07692307692307693	1.0	0.6923076923076923	0.8461538461538461
Declare_Dominance	0.1590909090909091	0.6136363636363636	0.5681818181818182	0.4772727272727273
Demanding_Dragon	0.14285714285714285	1.0	0.9285714285714286	0.8928571428571429
Demon_of_Catastrophes	0.05	1.0	1.0	0.85
Departed_Deckhand	0.05555555555555555	0.3888888888888889	0.6296296296296297	0.46296296296296297
Desecrated_Tomb	0.1111111111111111	1.0	0.07407407407407407	0.14814814814814814
Detection_Tower	0.3333333333333333	1.0	0.3055555555555556	0.5555555555555556
Diamond_Mare	0.05263157894736842	0.47368421052631576	0.18421052631578946	0.4473684210526316
Diregraf_Ghoul	0.1111111111111111	0.7901234567901234	0.14814814814814814	0.48148148148148145
Dismissive_Pyromancer	0.15384615384615385	1.0	0.5384615384615384	0.5384615384615384
Disperse	0.14666666666666667	0.12	0.41333333333333333	0.32666666666666666
Divination	0.07926829268292683	0.1402439024390244	0.36585365853658536	0.27439024390243905
Djinn_of_Wishes	0.05	1.0	0.8	0.5
Doomed_Dissenter	0.10526315789473684	0.1695906432748538	0.3157894736842105	0.4152046783625731
Doublecast	0.16129032258064516	0.7096774193548387	0.45161290322580644	0.3225806451612903
Draconic_Disciple	0.12048192771084337	0.6867469879518072	0.5662650602409639	0.5783132530120482
Dragon's_Hoard	0.1935483870967742	1.0	0.06451612903225806	0.2903225806451613
Dragon_Egg	0.2	0.5111111111111111	0.28888888888888886	0.5111111111111111
Druid_of_Horns	0.10256410256410256	0.6410256410256411	0.2564102564102564	0.1794871794871795
Druid_of_the_Cowl	0.08130081300813008	0.024390243902439025	0.6422764227642277	0.45528455284552843
Dryad_Greenseeker	0.14285714285714285	0.5892857142857143	0.8035714285714286	0.5357142857142857
Duress	0.2857142857142857	0.5204081632653061	0.3826530612244898	0.41836734693877553
Dwarven_Priest	0.07692307692307693	0.14102564102564102	0.3076923076923077	0.5384615384615384
Dwindle	0.09523809523809523	0.0761904761904762	0.3238095238095238	0.3238095238095238
Electrify	0.07228915662650602	0.0	0.46987951807228917	0.6385542168674698
Elvish_Clancaller	0.0	1.0	0.0	0.0
Elvish_Rejuvenator	0.15463917525773196	0.2268041237113402	0.32989690721649484	0.5309278350515464
Enigma_Drake	0.13580246913580246	0.7901234567901234	0.4691358024691358	0.30864197530864196
Epicure_of_Blood	0.07954545454545454	0.10227272727272728	0.2840909090909091	0.375
Essence_Scatter	0.0975609756097561	0.10365853658536585	0.5975609756097561	0.3597560975609756
Exclusion_Mage	0.022727272727272728	0.29545454545454547	0.5227272727272727	0.6363636363636364
